Study_Hours,Attendance,Extracurricular,Past_Score,Final_Score
8,86,No,57,87.70346207358779
5,75,No,77,78.37264007729347
12,53,No,83,110.06084748732776
3,52,Yes,50,47.55765596728884
8,85,Yes,77,93.09053264740025
6,75,No,77,85.95972042999702
5,50,No,52,61.77025805372562
7,89,No,89,101.0365014947593
2,63,Yes,54,48.82088241420171
8,52,No,81,88.64944994540171
11,95,Yes,69,107.79477140561606
8,79,Yes,65,92.55618078813832
6,89,No,78,86.5061191851907
2,83,Yes,79,64.6225131072006
4,56,Yes,83,68.51493100517807
1,71,Yes,52,44.85809379466664
11,62,Yes,86,105.30422220678584
3,95,No,86,73.82726384797022
8,76,No,64,87.2493804601863
8,91,No,62,93.81114614264256
4,75,Yes,84,74.02544529623599
10,79,Yes,64,97.58631860349728
4,57,Yes,51,61.803884847085335
3,88,Yes,75,66.51474752543695
11,56,No,51,89.19629896287647
7,76,No,64,86.54527644337173
1,66,Yes,71,57.71904285054723
1,90,Yes,80,68.19290113303602
4,55,Yes,62,57.1814100575175
7,57,No,76,84.71018134102307
9,81,No,65,100.15996070258237
12,59,Yes,57,103.43206581538465
7,59,No,85,81.88543270239046
12,68,No,74,107.77226524148432
2,91,No,79,66.53703539357507
10,80,No,67,99.03927838195973
2,66,Yes,89,70.28539387586028
8,59,No,55,76.5386381242944
9,54,Yes,51,77.77210957286697
2,50,Yes,53,41.633737166819664
12,71,Yes,76,114.48055175133071
6,75,Yes,83,82.87699963253411
6,68,No,60,70.02294833946081
1,87,No,83,65.44131521609916
5,59,Yes,50,65.50832132010913
4,97,Yes,50,70.79559306363396
12,66,No,89,111.7788979134392
4,88,Yes,62,68.24565852965968
9,79,Yes,85,106.23906187146133
6,98,No,76,90.53739827855104
6,51,No,73,77.26073552984313
9,66,Yes,72,91.84198676513148
2,66,Yes,52,47.52547646911437
1,87,Yes,88,64.33401686696084
10,99,No,52,104.91870049473188
4,69,Yes,57,63.54325163393723
4,66,Yes,89,72.39109371358161
7,94,No,68,92.76355387461571
5,91,No,56,72.97718677275337
11,87,No,66,109.24611070009274
7,81,Yes,74,92.38271983996557
12,58,No,54,101.72824210250548
7,63,Yes,81,84.0108859731733
1,89,Yes,51,53.680634325528494
12,53,Yes,89,109.17728083312326
11,83,No,69,102.5281708004608
3,92,Yes,59,67.32191330850652
10,51,Yes,73,90.52701480388822
5,100,No,57,82.44692012090476
3,52,Yes,85,68.69192084609128
7,59,Yes,58,79.40402995661631
8,81,No,50,83.67675294367024
11,66,Yes,78,108.3807304949905
11,50,No,63,94.31307539835551
4,64,Yes,54,57.624845576544175
3,56,No,51,54.97171957220461
11,87,No,50,96.6084905573073
4,76,No,79,72.94217750749831
6,98,No,65,82.775247970695
8,66,Yes,50,79.00826057340963
4,55,No,51,61.65044890295826
5,77,No,90,82.1698942784626
10,57,Yes,77,93.73842271709687
2,78,No,73,60.606648608201084
9,63,Yes,80,97.1456947308007
3,81,Yes,51,56.45875280185905
8,80,No,77,96.6526199003499
7,92,Yes,82,100.33174054151078
10,95,No,61,107.35868038617711
7,89,No,50,84.51930924392482
8,71,Yes,87,91.49497524857395
7,89,No,54,86.58741189425362
4,65,Yes,57,59.962580103071495
6,94,Yes,85,94.94830104563718
12,76,Yes,83,120.4563019855686
5,72,Yes,54,63.387763147522605
9,95,No,72,99.11333955729881
11,80,No,74,107.89443514854861
11,94,No,84,112.76520943569173
5,58,No,73,72.16103044876432
8,63,No,85,88.23331556296412
6,55,No,87,76.53763837160383
5,74,Yes,80,81.30354422222797
10,65,No,69,100.80021942295498
9,96,No,68,98.49644095306499
3,60,Yes,81,69.9885449696841
4,92,No,80,76.97130821794866
1,87,Yes,63,51.41111826258323
11,76,No,76,108.29026264109118
3,79,Yes,55,62.77014852062922
8,51,Yes,88,91.74043340154726
2,62,Yes,56,55.56961045451145
6,52,No,57,66.4098127077181
9,75,No,62,88.79419631359838
1,85,No,67,56.34106534362058
8,75,Yes,89,97.57230333179804
7,75,No,89,95.87445214374648
3,64,No,70,62.08772022913141
7,79,No,62,80.15148853606003
9,61,Yes,60,91.60674398260093
10,82,No,66,103.27280157064848
10,55,Yes,54,89.17884306037165
11,58,Yes,81,107.3138389850132
6,82,Yes,50,77.85950958240974
7,92,Yes,50,85.39848719729648
3,84,No,54,65.59936756483921
12,85,No,90,116.71498588428474
10,76,Yes,53,93.65994272519593
9,62,Yes,87,97.31318935856532
8,63,No,70,90.37124343499238
10,64,Yes,62,94.08536033156369
4,96,No,63,70.93358517491643
4,52,Yes,73,67.47132696641062
4,70,No,71,65.03681902221491
3,51,Yes,59,51.25839749368095
10,93,No,70,101.7188170459978
5,83,No,52,73.97976676823232
12,72,No,81,110.16025242379789
8,62,Yes,58,80.85346090595743
4,52,No,58,63.660212340137576
6,89,Yes,65,77.8405747976851
3,50,Yes,76,55.78199666503987
10,98,No,72,110.70059916014016
12,85,No,56,108.75648587791812
11,56,No,63,101.36800282570233
5,98,No,50,78.16787119651788
4,57,Yes,66,64.88648891211676
7,85,Yes,74,91.38367381446034
11,66,No,65,97.17379147610082
5,54,No,86,80.53670298407317
9,95,No,89,104.74943699396167
10,73,Yes,88,112.04641912743969
3,79,Yes,62,68.30766123206162
1,67,Yes,61,51.71322848536456
9,85,Yes,68,97.27647070941399
8,68,Yes,73,89.64457105403783
8,51,No,53,76.09663714993005
2,58,Yes,61,53.06953666740086
12,65,Yes,71,112.35468375909835
1,87,No,80,58.61449813456422
11,61,No,81,105.61318949944095
1,94,Yes,73,65.47215364480547
7,60,Yes,77,88.43028443450987
11,60,Yes,58,94.8681617383375
10,55,Yes,88,104.2446215247281
11,65,No,72,103.8265912040269
7,79,No,77,85.39440670787168
12,66,No,89,110.68047786566441
8,93,Yes,75,95.57146646468138
3,73,Yes,77,64.06930297617302
10,94,Yes,86,116.39013755608657
2,51,Yes,83,62.64861167825256
1,90,No,85,65.01827913298706
9,53,Yes,87,97.44505200137837
1,82,No,78,58.876629183479075
2,99,No,65,69.3044467071887
1,53,No,61,47.819854255951604
8,85,No,76,99.12925196816698
5,75,No,51,63.979826058609206
3,58,Yes,79,65.44059982921183
4,99,Yes,89,86.63007429703413
8,60,No,61,77.41587676577142
11,92,No,70,112.92495438531017
5,80,Yes,81,79.6348045532518
11,68,No,71,108.28497398233799
4,56,No,80,72.12861362736076
12,82,No,61,110.46302142771096
7,72,No,52,72.88734544244073
9,85,Yes,85,104.23530714240485
11,79,No,82,112.85292544396637
9,98,Yes,71,104.82864605379025
9,62,No,88,94.98555905483866
8,55,Yes,61,84.40296376178074
9,92,No,81,107.12390770624552
3,74,Yes,59,63.743288045261345
10,57,No,51,92.3517828317543
11,84,No,82,111.05280617083139
7,100,Yes,82,99.67370811201428
1,91,No,83,61.15745693683224
3,66,Yes,53,55.11466090632262
1,80,Yes,78,55.39237548506733
5,68,Yes,82,76.56515665026288
10,67,No,60,89.40486803913602
7,72,Yes,84,94.33729601047739
2,92,Yes,61,66.75396988382768
6,83,Yes,78,82.64167062258272
1,64,No,52,45.03110270481392
3,57,Yes,66,62.31454554714068
8,87,Yes,50,86.46739408695571
8,99,No,53,89.79280624554188
1,84,No,54,48.28036509205731
7,95,No,65,87.27790876405295
6,51,Yes,54,63.405989684493335
2,79,Yes,90,69.49130744975065
5,74,No,66,70.69411690935507
8,75,No,61,90.16405813422156
5,92,Yes,52,75.57960790090911
5,76,No,54,66.07943827915129
5,54,Yes,80,71.54025939997359
1,72,No,55,51.44228553899449
6,97,No,90,100.05589027454998
3,67,Yes,57,54.33772905804368
5,85,No,50,67.48832977854221
10,77,Yes,50,89.02224459008698
11,93,No,72,115.43386443657143
10,100,No,61,107.10728776259444
2,55,Yes,69,58.65753682743957
3,81,Yes,51,63.58934517494677
1,61,No,89,63.854729850982906
6,70,No,52,72.00390910368505
8,63,No,62,84.50839504058081
11,75,Yes,55,97.34103873351715
11,82,No,83,111.40403243355618
10,91,Yes,85,110.31689992692665
12,97,Yes,59,108.17263661647489
3,98,Yes,85,79.94730447731999
11,50,No,83,101.69099302568411
1,53,No,77,51.70712915828857
9,87,Yes,65,100.06517312682625
9,96,Yes,65,99.4264069456048
2,87,No,86,75.28573613012169
3,86,Yes,53,64.46807900523942
7,54,Yes,77,83.51702895747715
2,51,Yes,83,63.48197059799439
2,64,No,65,50.57864476327862
9,64,No,83,93.72621846340292
5,61,Yes,59,62.268371183547956
8,64,No,84,92.2345936339342
6,66,Yes,57,74.77249549070999
3,88,Yes,78,74.9550079454422
11,95,No,88,114.3430405728681
6,91,No,84,92.87647121697293
11,91,No,51,104.27846409351035
12,51,No,71,107.30486749101522
1,54,No,66,49.68710774574709
4,55,No,79,69.18689842918921
11,76,Yes,69,109.33177601907386
6,84,No,62,75.42424761186938
2,50,Yes,68,48.625026073089515
10,74,No,65,95.19175517245385
12,58,Yes,86,110.90796198780835
4,67,No,77,75.08607061936483
10,92,No,66,100.05699697694726
11,72,Yes,57,99.10526611809433
2,76,No,55,58.43581787033867
11,73,Yes,79,106.42079407440467
2,79,No,85,63.51166571391598
7,71,No,87,90.58273525202932
11,70,Yes,56,99.3793309001177
2,95,No,59,63.12248454650327
3,100,No,88,83.41424407539242
12,56,Yes,82,105.82794808620342
6,77,No,70,81.41938967462175
12,62,Yes,70,108.61257932523787
6,84,Yes,63,81.04698794620596
11,50,Yes,51,89.51425466187544
4,71,Yes,85,75.55652124055334
11,64,No,61,101.5943198509733
8,98,Yes,75,94.42856552591157
6,72,Yes,67,81.5101457573025
5,71,Yes,89,86.562653700781
5,97,No,60,78.05135301391498
6,57,Yes,54,68.20792832533573
4,72,Yes,70,71.56652109271252
7,92,Yes,59,85.00002397714988
4,64,No,75,67.09477703542414
2,88,Yes,82,68.39416537152375
11,77,No,74,104.24740273931934
4,94,No,65,78.70701028529865
10,81,No,72,104.2212751068242
9,82,No,86,103.80324613139855
8,98,No,88,102.6837207341139
6,69,Yes,50,69.38548604467246
2,77,Yes,82,61.54732393398162
4,81,Yes,64,73.97824432860725
11,99,Yes,69,108.0659724711902
3,65,No,83,64.61513813848701
9,85,Yes,88,102.2799568268972
12,58,No,87,111.8634944744172
12,87,Yes,74,112.80733129861092
3,66,Yes,54,55.31706461806288
11,58,No,62,101.3603786385362
5,94,Yes,68,81.00968336211996
5,72,No,86,80.88902289507286
11,69,Yes,69,102.2780239649335
2,70,No,88,61.92192796904408
7,58,No,78,85.1698405061623
2,51,No,81,60.496393614400404
6,93,No,61,85.91469763017874
7,68,No,87,93.49459154437744
7,74,Yes,50,73.72374368430563
10,73,Yes,57,94.4330687684661
8,70,Yes,56,79.35938348919211
2,70,No,72,55.02326142790419
1,58,No,54,39.136570475324866
5,96,No,88,89.56007820389372
12,63,No,69,110.14221754668303
11,60,Yes,89,106.55747855483907
10,60,No,83,104.402355342058
12,78,No,84,115.60076135481613
12,93,No,77,120.83505201512236
9,65,Yes,66,92.75430771241334
3,73,No,66,66.7610539606309
1,54,No,68,43.43773258812584
5,95,Yes,71,84.0317554493912
2,71,No,62,60.860527385471194
6,60,Yes,84,77.02010864395339
10,79,No,66,98.85906842883385
2,57,Yes,68,52.353608177649924
4,52,Yes,89,73.9362879799658
5,90,No,71,75.86326296987856
1,60,Yes,87,55.477266367146264
6,59,No,82,77.64459790097563
9,59,No,68,92.74153448320281
8,69,Yes,56,78.4489313880035
10,92,Yes,86,113.62011761851493
11,50,Yes,73,97.30725615109006
9,61,No,70,91.88409812561514
2,53,Yes,57,51.148362472600795
11,97,No,81,118.1389202690718
6,92,No,82,90.80347303365751
8,73,Yes,62,91.6232665396147
7,76,No,76,91.34621512129229
11,91,Yes,81,112.198566774227
8,78,Yes,66,93.5086281896009
2,72,No,89,62.33197384982746
8,89,Yes,59,86.45255931544538
12,78,No,72,115.88392798555618
6,98,No,81,86.87520283628324
12,51,Yes,51,95.14621887534739
4,85,No,75,74.34804085718416
10,90,Yes,71,101.85988815181584
7,61,Yes,69,83.12782391736704
1,57,No,58,45.03046070433547
1,54,No,56,44.73675212620118
3,81,Yes,79,67.9927683861035
9,92,No,58,100.68819146398603
5,86,Yes,51,70.11357045748709
9,89,Yes,50,88.69073134862188
6,56,Yes,90,79.67238703833009
6,77,Yes,86,85.3039559223516
3,86,Yes,55,61.07870569846279
10,86,No,67,103.93596375459184
4,65,Yes,89,77.6332651224733
7,51,No,52,72.71889001889312
4,98,No,68,75.76248151222809
8,77,Yes,84,96.75142582517181
6,70,No,74,83.471204567103
2,62,No,86,60.2885293757006
6,100,No,85,90.21831340967252
10,94,Yes,69,101.51491743844379
6,52,No,62,73.47671419589936
4,68,No,59,59.08276673820369
5,68,Yes,90,82.08559251281744
5,61,Yes,55,63.387230157536166
7,81,Yes,56,81.98337518127637
12,99,Yes,61,111.89341379937011
2,95,No,59,65.48189054176328
7,83,Yes,87,92.69793042834245
4,83,Yes,88,76.7192870545046
12,84,Yes,50,102.29460942493577
9,55,Yes,60,82.54133040406896
11,90,No,88,114.59759110892631
6,98,Yes,66,88.32564957426713
6,60,No,57,74.39486308161722
12,93,No,67,111.29382282557684
7,68,No,77,91.10774777101928
2,82,Yes,90,75.38682739009947
10,56,Yes,87,100.73027684372241
6,93,No,73,90.32749830298046
11,56,Yes,62,97.44332203441436
10,66,No,60,90.29968917124468
9,89,Yes,67,99.44686897848548
11,77,No,58,103.0537487086945
9,65,Yes,65,93.86635862117325
12,90,No,66,114.34231579951685
12,73,No,83,113.78974015580769
6,52,Yes,51,67.25086196103354
10,79,No,64,94.52241870839765
3,70,Yes,61,57.2656280933489
9,96,Yes,88,109.84893079667765
10,65,No,88,105.00407539095974
5,54,No,77,68.53603889087495
11,90,Yes,66,105.21064928936545
10,82,Yes,51,90.98705319221429
5,60,Yes,51,61.659172451891436
6,76,No,88,86.39044851012505
10,80,No,68,101.65326485085473
9,90,No,65,93.12409545919321
4,57,Yes,71,70.18997332020541
4,66,Yes,56,57.537651089342475
1,92,Yes,71,58.74109697071638
1,79,Yes,81,60.557809681707695
3,68,No,86,67.87912220710267
12,58,Yes,89,113.45004020728912
11,91,No,57,106.83739555702876
1,92,Yes,72,63.00256223479421
3,83,No,78,67.91724947066292
11,98,No,78,111.85328913930232
5,72,No,59,65.84493478719482
5,94,No,61,74.91374588668874
12,89,Yes,79,120.58096866250918
10,54,No,55,83.74611203885479
12,51,No,62,102.39756194580235
6,67,No,58,72.16419041450314
11,51,No,64,98.26617139899662
10,68,Yes,64,95.8224402995226
4,58,Yes,82,72.01189657442241
7,79,Yes,56,82.80132450080417
11,86,No,52,97.89108330331585
1,100,Yes,54,53.776021340502204
3,85,Yes,68,65.11125305403172
6,79,Yes,53,73.46655336095994
2,86,Yes,55,53.08581118410167
2,50,No,72,58.098149574385765
12,58,No,52,97.14771741462704
10,60,No,90,107.60174332007631
4,62,Yes,60,66.21966874754864
2,99,No,77,71.40811085840366
9,80,No,53,91.14332316490767
7,80,Yes,77,84.83140307113212
2,89,No,90,75.72355008722054
9,50,Yes,52,78.58043540832068
6,80,No,86,89.00552080211547
11,57,No,81,106.85424664668315
4,51,Yes,89,71.81458379869845
6,98,No,55,81.8631682400572
6,53,No,77,78.79548877634187
6,56,No,88,78.83065181334753
9,85,No,77,101.18438292431654
4,81,Yes,66,75.33315790270383
1,77,Yes,87,65.50452327423486
9,61,No,86,97.10797852878017
12,54,Yes,66,104.02535898003701
2,92,No,66,59.4495515195683
1,77,Yes,86,58.63659669744237
7,73,No,67,83.68259914732317
11,99,Yes,68,112.97690195376563
11,58,No,73,99.17906974000569
1,82,Yes,77,57.613030994048174
9,93,Yes,69,96.99823888292683
9,78,Yes,60,89.48544144013346
10,74,No,86,102.55441795153837
2,84,No,50,57.99733806403594
9,51,No,66,91.6655298093107
5,93,Yes,87,84.98614099249117
8,74,No,63,90.12387772666905
7,71,No,62,77.42029484003224
8,67,Yes,76,86.27309694449737
2,53,No,54,50.483163834393416
8,79,No,67,93.82896124154301
10,81,Yes,73,99.28987100854948
9,96,Yes,82,109.70084502490022
3,55,No,61,53.202841244712694
4,98,Yes,58,69.04093118862066
3,92,No,85,73.99447231648865
7,80,Yes,81,89.59746279119899
8,56,No,59,76.08351258883293
11,91,Yes,69,110.15368982098398
2,87,Yes,85,69.69729826191463
9,78,Yes,54,89.3232115211424
9,86,No,66,96.84981217039055
5,92,Yes,74,78.83134061062931
1,66,Yes,89,56.278797581222285
11,73,No,69,105.49463451253938
5,99,Yes,81,88.99545247919771
9,68,No,54,83.37221047557837
9,96,Yes,51,90.16476144003899
3,99,Yes,57,69.36297068321892
5,71,No,71,76.70222761104802
7,80,No,66,89.47257586026035
2,78,Yes,57,54.91291641923365
4,95,No,61,68.42659756319937
6,52,No,83,76.137609784767
5,93,Yes,77,84.47258482995316
11,73,No,74,107.40685721180411
10,80,No,54,99.74649406107592
4,67,No,82,75.84626793482943
9,72,Yes,90,102.6035632803854
12,100,Yes,78,122.3863785986911
1,97,No,65,60.35920629896565
11,100,Yes,55,109.33301712280768
11,66,Yes,78,101.81410519398577
11,95,Yes,84,120.1606559275928
11,75,Yes,77,109.44129870369065
9,84,Yes,69,93.74854029230386
9,73,No,68,89.39568613132452
7,63,No,65,80.80993660970304
1,84,Yes,75,61.849629061972884
7,54,No,57,73.58637565593767
12,96,No,74,114.98339604438891
7,73,Yes,86,88.52805693389837
7,87,No,80,92.0033989104569
8,79,No,62,89.4105889561434
5,83,No,80,77.18643404796406
3,74,No,86,70.29222502216976
2,54,No,89,60.885963978885144
10,73,No,67,100.85096504534508
10,63,No,50,86.62234176980462
4,73,No,87,72.20689374744103
5,79,Yes,52,67.0114903893857
4,57,No,66,67.43843579445263
11,57,No,70,98.43406128129531
12,66,No,62,109.00138462595639
7,64,Yes,82,87.511991476402
6,64,Yes,86,86.3020690302064
1,98,No,65,61.44481745416808
4,72,Yes,64,63.58236649657014
8,78,Yes,78,98.96327756761752
1,83,No,85,62.849916851554454
2,97,No,51,64.47149259873535
7,57,No,52,77.10398364352471
8,86,Yes,77,91.91427765480398
8,52,No,54,73.77131090131044
11,91,Yes,54,105.01534487642687
3,64,No,74,62.70540541258911
3,71,No,74,63.99452195263646
12,81,Yes,88,114.64770803008722
3,97,Yes,75,73.9274407987314
6,76,No,79,80.20306892643787
7,97,No,90,102.3743730777505
4,53,Yes,64,66.42686181759058
1,51,Yes,60,39.72135419404475
5,67,Yes,78,76.85946278781874
9,55,No,72,87.37749537129513
12,90,Yes,71,112.09592753421735
4,81,Yes,64,71.70669616781242
7,61,No,71,85.12328301342518
6,54,Yes,81,76.6828607126856
7,97,No,68,92.59774919741592
7,75,No,66,87.9015947375306
5,50,Yes,83,71.90921041846995
6,64,No,77,75.9047030438338
12,60,No,62,106.93849190009662
1,74,No,73,56.35269457913058
8,65,No,51,81.1632328343879
6,91,No,50,81.95679728174682
2,89,Yes,84,68.64096926198877
5,50,Yes,61,63.00397606554804
6,74,No,77,81.90562679843586
12,58,Yes,85,115.0575415960599
12,70,No,69,109.15456989391136
1,63,Yes,66,46.15430210084026
12,87,Yes,63,111.55299415474795
1,61,Yes,60,48.693105314625704
4,60,No,57,57.62288029631899
10,60,No,81,103.35752995082748
12,66,Yes,77,105.64240371661856
2,80,Yes,68,57.93964719413298
3,88,No,60,66.47527282261757
6,97,Yes,65,85.79868664300533
5,100,Yes,75,87.54544005156514
4,97,Yes,57,70.41115795347052
2,84,Yes,89,71.94290484462839
11,96,No,62,103.73609074564237
7,74,Yes,58,76.69337798069365
4,80,No,55,62.01330148162921
2,97,Yes,82,71.28574650869861
9,88,Yes,73,97.01765115679179
1,66,Yes,55,51.50270022083454
11,97,No,52,101.92815548655945
10,75,Yes,53,95.80682954335646
10,91,Yes,62,97.46161915743954
1,67,No,75,51.6352295737911
9,75,Yes,66,91.63974497520046
10,83,Yes,55,94.07953980051454
5,100,Yes,83,87.16430942313829
2,68,Yes,87,62.36103972510928
2,88,Yes,51,54.56083291093383
2,78,No,58,61.26094493871364
7,55,No,76,85.86338692912497
1,97,Yes,61,56.71362287206439
12,73,Yes,79,112.23526009629299
10,71,Yes,85,105.23327457255054
11,90,Yes,78,108.52727035411564
6,67,Yes,64,78.1258621126123
8,73,Yes,67,86.5107851609715
11,57,No,90,112.24089905110176
3,61,Yes,54,53.24021156799377
6,83,Yes,82,92.2155010742992
5,82,Yes,82,81.6196311200671
3,77,No,85,73.2314773316532
6,65,Yes,64,76.2044385685464
2,60,Yes,71,58.12319485913284
4,96,Yes,88,87.87220000222852
9,94,No,79,107.66792559489826
6,66,No,61,74.23862352056992
7,85,Yes,81,88.81708284480051
4,75,Yes,61,64.11807746041617
8,67,Yes,54,86.3494278797057
4,93,No,90,88.00592181998464
11,100,Yes,52,101.101134797986
7,100,Yes,67,96.56812980798419
2,67,Yes,79,63.09942245022798
3,79,Yes,84,68.32753863011
6,99,Yes,54,79.98009338810586
7,90,No,76,91.99420529864722
5,92,Yes,51,72.02300048078692
10,97,No,55,103.9255762211092
9,55,No,81,92.97586763623032
12,67,Yes,71,109.17232260152508
5,54,Yes,89,72.03816733094331
2,78,Yes,61,61.59998154739414
8,50,Yes,82,92.03551706962227
5,83,No,89,86.46541391988154
3,70,Yes,77,66.92977634000728
9,97,Yes,58,94.60818425041636
4,50,No,86,70.58158028290511
7,83,Yes,64,88.67901405603259
9,73,Yes,50,86.6531064512967
10,100,No,68,111.74191168872
11,80,No,90,117.01570032671691
4,93,No,83,76.35937649354706
9,98,Yes,81,105.62295508415444
11,91,No,57,103.6719235255574
2,52,Yes,82,58.84733304488894
5,97,Yes,61,81.98516072539695
3,69,Yes,50,51.649674161632014
3,60,No,81,63.963198756797674
5,76,Yes,66,77.13822781744416
5,59,Yes,63,67.60060441110147
11,74,No,56,98.60608984155746
11,75,Yes,53,97.68240081173641
4,84,Yes,69,71.28303568939955
10,97,No,75,108.18432974210727
9,52,No,72,89.32441663554388
7,54,Yes,55,70.93539177366779
3,70,Yes,55,58.6070109961546
6,78,No,79,80.69192859803138
2,76,No,81,65.20269789192994
11,89,No,87,120.48395342123546
8,86,No,73,95.00181417360251
2,95,No,52,59.0220441520109
9,74,Yes,58,87.01195259581787
12,71,Yes,89,119.56511515590657
7,67,Yes,60,82.07052244941143
10,83,Yes,52,99.75015816553537
12,74,No,72,107.647646260116
5,50,Yes,54,56.72792565036649
1,77,No,85,66.5455831895999
2,95,Yes,52,62.606084008492275
8,100,No,78,104.80942265235367
9,80,Yes,68,100.23401684272906
9,70,Yes,56,86.9967945386631
11,96,Yes,71,111.38845713708217
10,94,Yes,70,104.98737853097177
2,100,No,70,67.67609017857878
5,56,Yes,58,67.03640561640657
5,70,Yes,63,69.07049007634632
11,70,Yes,74,101.3515557042278
7,76,No,67,88.29084807378464
5,53,Yes,56,60.02924324989345
12,67,No,59,107.36195222331507
1,50,No,52,37.10969247686161
10,99,Yes,55,104.70626341090927
12,96,No,72,113.22132252800665
2,58,Yes,53,47.628265509436005
7,97,No,54,85.78369626050049
10,66,No,82,103.66236284677323
4,99,Yes,64,76.89525652316786
4,64,No,58,63.215559306526806
2,50,No,66,55.32902959169942
7,86,Yes,79,88.29654667813057
7,66,Yes,60,78.42820165373206
1,54,Yes,66,43.56181117907688
2,80,No,84,71.70027660667071
11,59,No,69,103.50493425387542
12,94,No,59,109.23815836920842
8,58,No,51,80.46177312758819
11,86,No,72,111.57235942099858
12,99,Yes,76,123.94225248615336
2,66,Yes,67,56.56745763798447
6,54,Yes,54,70.75669235974621
6,50,Yes,71,70.51381129592325
9,65,Yes,73,89.27322187371185
10,87,No,62,104.42072160364111
2,93,Yes,56,55.72215143064727
5,73,Yes,85,82.23303534651977
7,54,Yes,71,82.5514189242466
10,95,No,79,111.53061399620299
6,86,Yes,64,81.88745069715313
2,96,Yes,57,65.9932651877262
10,77,Yes,87,103.94819856886771
1,58,Yes,84,53.66606736262242
12,79,No,88,122.8237025326181
10,76,Yes,59,97.01209278579653
12,71,Yes,53,106.15476697963244
6,90,No,75,89.07352903533558
2,51,Yes,60,48.64269150236083
8,85,No,76,95.41205087516938
1,75,Yes,56,49.27651449778527
1,54,No,56,40.74170379994998
12,55,Yes,61,103.87312224393003
4,82,No,69,68.95163705680956
6,69,No,76,76.31619946380742
3,61,No,84,64.82915821767156
4,52,Yes,79,63.906805422809036
7,65,Yes,52,79.4539682675588
12,59,Yes,62,102.60569946131534
5,65,No,67,69.63860755024056
2,65,Yes,82,65.95450614270989
4,53,Yes,61,60.270198906820625
6,78,Yes,71,84.52320701420808
6,94,No,88,89.23859000476682
4,50,Yes,54,60.53947253516216
9,57,No,67,84.57532721670769
3,75,Yes,52,62.93434725844755
10,99,Yes,56,98.97121146478722
4,88,Yes,50,69.64068954696334
7,84,Yes,63,87.60108338980405
10,69,No,55,91.4010523503296
8,95,No,75,94.16414621127332
2,66,Yes,52,50.88920465824387
10,83,Yes,60,97.37375542219252
1,89,No,62,55.22172775237682
11,68,Yes,60,101.11734605333103
12,96,Yes,75,120.34619905163582
10,59,Yes,57,92.98995512349319
5,72,Yes,65,68.44975759661212
2,51,No,90,63.76827693390523
11,89,Yes,53,106.8580069856993
3,51,Yes,86,60.25422700059457
3,100,Yes,61,67.70663701315628
10,66,Yes,89,108.31076652438193
12,84,No,78,115.8068078831828
10,64,No,56,92.35076018048046
2,64,Yes,62,50.7616373628318
4,60,Yes,66,68.25462551801569
4,89,No,78,78.30524263547143
10,82,No,88,107.52714995615253
10,93,Yes,79,109.95027172895219
8,81,No,59,84.15732981243407
8,70,No,56,86.42060659832534
7,97,Yes,52,82.43145319552487
5,94,Yes,82,88.96953525909622
8,92,No,54,91.70573500189128
4,75,No,59,63.479300632293544
1,70,Yes,57,52.34423604158815
7,66,No,72,86.91216903537384
5,88,Yes,88,85.70395956439485
7,94,No,68,92.48522106454706
9,59,No,80,99.42483827853282
3,54,Yes,67,54.426631129877755
12,64,No,60,100.54291297601074
12,82,Yes,79,113.55321787645225
8,80,No,59,89.4446774698094
6,51,No,72,73.29715512456714
4,70,Yes,74,73.67679532815154
11,65,Yes,57,97.4623347886585
5,66,Yes,89,84.17983881051521
6,56,Yes,51,71.25186400708299
7,63,Yes,75,80.65297100577865
12,67,Yes,88,113.39072774958478
12,56,No,86,110.02288507426765
3,99,Yes,52,66.08134652271664
7,74,No,90,92.62007029401126
4,69,No,85,78.22875001450824
8,76,Yes,75,88.57319017375816
10,95,No,60,106.5001052263357
2,78,Yes,51,56.715729478345565
1,100,Yes,80,67.20291756825785
3,97,Yes,71,73.9427349008681
3,87,No,81,77.8409012512113
11,77,Yes,72,110.46847224567333
2,76,No,79,65.29583870907629
1,82,Yes,80,63.34162790362898
4,75,No,52,67.98108561851869
12,66,No,81,115.18051452860301
12,69,Yes,69,105.6677221868834
11,73,Yes,87,114.59299399238373
3,99,No,54,68.93501942766267
1,53,Yes,67,47.199172917900434
4,79,No,81,77.96926036321018
3,89,Yes,84,71.14369733857227
12,71,Yes,64,109.44498470034918
6,87,No,51,74.42867850016123
4,65,Yes,63,67.25946647887073
11,64,Yes,63,97.17850917805525
12,72,Yes,82,116.24383441143915
10,73,Yes,57,98.42742060636132
8,56,Yes,68,83.4946767833297
1,99,No,60,62.910469527990024
12,70,No,53,105.5547418933304
4,83,Yes,57,68.41114228242611
5,86,Yes,87,88.78040677850863
9,74,Yes,52,85.40788992579301
7,52,Yes,56,75.36895980199816
9,95,Yes,74,102.2957636294554
10,67,Yes,74,94.91105230824516
7,56,Yes,59,78.7712862194873
10,85,Yes,83,106.95320637563358
3,63,Yes,52,51.57823593777416
10,50,Yes,76,90.72398069395415
12,80,Yes,76,114.65903810790611
1,84,No,88,61.12711238451555
7,75,No,84,93.74160580000944
11,61,No,79,105.48383352256513
12,60,No,83,111.95008391656495
11,97,No,80,116.3386502741711
